ID,GPSX,GPSY,TYPE,POI_DENSITY,CAPACITY
C1,113.3437434,23.12339328,1,10,1000
C2,113.325132,23.13242902,1,13,660
C3,113.2948248,23.26743393,1,2,207
C4,113.3028969,23.15228705,1,10,750
C5,113.3252502,23.14748197,1,12,830
C6,113.2916396,23.08951523,1,10,60
C7,113.3283144,23.11409799,1,11,550
C8,113.2701471,23.12177905,1,17,600
C9,113.327068,23.12555586,1,13,300
C10,113.3279818,23.13520671,1,13,2600
H1,113.478346,23.177209,2,1,408
H2,113.2706123,23.08050601,2,8,700
H3,113.3502826,23.12583585,2,9,1000
O1,113.4251731,23.16627161,3,2,200
O2,113.3069747,23.12422319,3,14,98
O3,113.3234211,23.14172999,3,13,120
O4,113.3179822,23.11882231,3,13,325
O5,113.3443648,23.12703414,3,10,170
R1,113.3323725,23.19257827,4,3,946
R2,113.2779077,23.07752852,4,8,220
R3,113.2658702,23.09307961,4,12,800
R4,113.2428148,23.12071335,4,15,280
R5,113.334501,23.12359778,4,12,250
S1,113.4164538,23.13087139,5,5,4000
S2,113.2777207,23.18701562,5,5,6000
S3,113.259281,23.14075469,5,15,700
T1,113.3254533,23.09945792,6,9,300
T2,113.4053464,23.03507704,6,2,2000
T3,113.3391737,23.17002269,6,6,300
T4,113.3245546,23.10638803,6,10,500
